X,Y,RCLC1,RCLC2,RCLC3,RCLC4
47.5,73.39,80.24,80.48,80.73,80.98
47.29,74.46,84.45,84.68,84.94,85.17
47.14,75.45,81.21,81.46,81.73,82
47.32,74.64,82.14,82.34,82.55,82.75
47.43,73.66,79.2,79.33,79.46,79.6
47.46,72.68,77.61,77.83,78.04,78.25
47.43,73.46,75.67,75.87,76.07,76.29
50.54,82.68,79.68,79.83,79.96,80.11
62.32,88.93,82.59,82.8,82.93,83.09
65.04,100,82.98,83.17,83.25,83.35
65,102.95,85.41,85.59,85.67,85.77
61.54,104.29,85.81,86.01,86.16,86.37
59.46,103.57,85.57,85.78,85.95,86.14
58.29,101.43,84.23,84.45,84.63,84.85
57.82,99.64,86.8,87,87.1,87.22
57.18,97.68,86.38,86.62,86.8,87
56.68,95.04,88.34,88.53,88.68,88.85
56.68,94.75,86.11,86.29,86.43,86.6
56.36,89.64,85.3,86.07,86.21,86.37
55.79,86.7,87.4,87.47,87.57,87.69
56.21,85.54,91.27,91.14,91.03,90.9
56.39,77.86,93.17,92.93,92.67,92.41
56.57,75.89,90.2,90.18,90.15,90.08
56.64,78.14,93.96,93.82,93.68,93.54
56.89,78.21,93.32,93.24,93.17,93.09
56.54,77.77,93.19,93.08,92.99,92.92
56.64,77.59,92.19,92.05,91.91,91.78
56.54,77.5,92.51,92.35,92.19,92.05
55.57,78.93,94.07,93.91,93.74,93.59
55.55,78.21,94.26,94.19,94.13,94.09
55.3,76.07,95.52,95.45,95.41,95.39
55.39,76.79,96.8,96.7,96.64,96.59
56.68,76.95,95.74,95.64,95.54,95.45
58.96,76.52,97.78,97.68,97.56,97.45
60,76.46,98.99,98.89,98.74,98.63
60.54,75.3,98.14,98.22,98.15,98.1
61.79,73.93,99.37,99.43,99.35,99.27
61.64,72.54,102.59,102.6,102.48,102.38
61.66,72.57,98.82,98.93,98.9,98.89
62.21,72.84,97.41,97.67,97.63,97.62
62.71,72.57,96.92,96.99,97.06,97.09
62.54,72.75,98.01,98.19,98.36,98.46
62.46,73.38,96.17,96.37,96.56,96.7
